.\IMG\left_2017_10_17_22_13_12_499.jpg,TRUE,0.2858882,0.6241605,4.179039,0.2535095,.\IMG\center_2017_10_17_22_13_12_499.jpg,TRUE,0.2780087,0.6244738,4.200623,0.2540283,.\IMG\right_2017_10_17_22_13_12_499.jpg,TRUE,0.2700201,0.6248026,4.220955,0.2544861
.\IMG\left_2017_10_17_22_13_12_566.jpg,TRUE,0.2843512,0.6230668,4.218102,0.2534485,.\IMG\center_2017_10_17_22_13_12_566.jpg,TRUE,0.2764033,0.6233822,4.240013,0.2539673,.\IMG\right_2017_10_17_22_13_12_566.jpg,TRUE,0.2683461,0.6237136,4.260666,0.2544556
.\IMG\left_2017_10_17_22_13_12_640.jpg,TRUE,0.2820717,0.6204457,4.272217,0.2522278,.\IMG\center_2017_10_17_22_13_12_640.jpg,TRUE,0.2740303,0.6207632,4.294632,0.2527466,.\IMG\right_2017_10_17_22_13_12_640.jpg,TRUE,0.2658793,0.6210979,4.315742,0.2532349
.\IMG\left_2017_10_17_22_13_12_717.jpg,TRUE,0.2796428,0.6165956,4.327568,0.2502136,.\IMG\center_2017_10_17_22_13_12_717.jpg,TRUE,0.271507,0.6169144,4.350494,0.2507324,.\IMG\right_2017_10_17_22_13_12_717.jpg,TRUE,0.2632609,0.6172522,4.372063,0.2512512
.\IMG\left_2017_10_17_22_13_12_786.jpg,TRUE,0.2777537,0.6127798,4.369949,0.2545166,.\IMG\center_2017_10_17_22_13_12_786.jpg,TRUE,0.2695459,0.6130992,4.393265,0.2543335,.\IMG\right_2017_10_17_22_13_12_786.jpg,TRUE,0.2612278,0.613439,4.415245,0.2539978
.\IMG\left_2017_10_17_22_13_12_860.jpg,TRUE,0.2751473,0.6064504,4.427925,0.264679,.\IMG\center_2017_10_17_22_13_12_860.jpg,TRUE,0.2668412,0.6067696,4.451828,0.2644653,.\IMG\right_2017_10_17_22_13_12_860.jpg,TRUE,0.2584246,0.6071122,4.474304,0.2641907
.\IMG\left_2017_10_17_22_13_12_931.jpg,TRUE,0.2723716,0.5993832,4.489571,0.2879028,.\IMG\center_2017_10_17_22_13_12_931.jpg,TRUE,0.263962,0.5997021,4.514107,0.2870483,.\IMG\right_2017_10_17_22_13_12_931.jpg,TRUE,0.255441,0.6000473,4.537109,0.2860107
.\IMG\left_2017_10_17_22_13_13_006.jpg,TRUE,0.2712073,0.5990477,4.532623,0.291687,.\IMG\center_2017_10_17_22_13_13_006.jpg,TRUE,0.2627181,0.5993693,4.557388,0.290802,.\IMG\right_2017_10_17_22_13_13_006.jpg,TRUE,0.2541174,0.5997176,4.580696,0.2897339
.\IMG\left_2017_10_17_22_13_13_076.jpg,TRUE,0.2752922,0.5984173,4.545273,0.2944946,.\IMG\center_2017_10_17_22_13_13_076.jpg,TRUE,0.2667392,0.5987411,4.569443,0.2936096,.\IMG\right_2017_10_17_22_13_13_076.jpg,TRUE,0.258072,0.5990919,4.592072,0.2924805
.\IMG\left_2017_10_17_22_13_13_148.jpg,TRUE,0.2842132,0.5978339,4.50869,0.2954102,.\IMG\center_2017_10_17_22_13_13_148.jpg,TRUE,0.275657,0.5981576,4.531311,0.2945251,.\IMG\right_2017_10_17_22_13_13_148.jpg,TRUE,0.2669829,0.5985087,4.5541,0.293396
.\IMG\left_2017_10_17_22_13_13_218.jpg,TRUE,0.2983187,0.5973208,4.449196,0.2975464,.\IMG\center_2017_10_17_22_13_13_218.jpg,TRUE,0.2897666,0.5976443,4.469345,0.2966309,.\IMG\right_2017_10_17_22_13_13_218.jpg,TRUE,0.2810919,0.5979955,4.496445,0.2954712
.\IMG\left_2017_10_17_22_13_13_290.jpg,TRUE,0.3072565,0.5970718,4.43721,0.3019714,.\IMG\center_2017_10_17_22_13_13_290.jpg,TRUE,0.2986568,0.5973973,4.455826,0.3009949,.\IMG\right_2017_10_17_22_13_13_290.jpg,TRUE,0.2899291,0.5977506,4.48835,0.2998047
.\IMG\left_2017_10_17_22_13_13_360.jpg,TRUE,0.3097722,0.5969236,4.462387,0.3062134,.\IMG\center_2017_10_17_22_13_13_360.jpg,TRUE,0.301098,0.5972518,4.48204,0.3052063,.\IMG\right_2017_10_17_22_13_13_360.jpg,TRUE,0.2922933,0.5976082,4.518715,0.3040161
.\IMG\left_2017_10_17_22_13_13_431.jpg,TRUE,0.3101741,0.5966265,4.520699,0.3123169,.\IMG\center_2017_10_17_22_13_13_431.jpg,TRUE,0.3013709,0.5969594,4.548286,0.3113403,.\IMG\right_2017_10_17_22_13_13_431.jpg,TRUE,0.2924354,0.597321,4.585556,0.3100586
.\IMG\left_2017_10_17_22_13_13_500.jpg,TRUE,0.3091925,0.5963731,4.575783,0.3172913,.\IMG\center_2017_10_17_22_13_13_500.jpg,TRUE,0.3002785,0.59671,4.610092,0.3161926,.\IMG\right_2017_10_17_22_13_13_500.jpg,TRUE,0.2912307,0.5970761,4.65136,0.3149109
.\IMG\left_2017_10_17_22_13_13_570.jpg,TRUE,0.3069873,0.5960506,4.661667,0.3242493,.\IMG\center_2017_10_17_22_13_13_570.jpg,TRUE,0.2979132,0.5963933,4.702217,0.3231812,.\IMG\right_2017_10_17_22_13_13_570.jpg,TRUE,0.288704,0.5967658,4.753242,0.3218079
.\IMG\left_2017_10_17_22_13_13_649.jpg,TRUE,0.3040609,0.5958059,4.761124,0.3320007,.\IMG\center_2017_10_17_22_13_13_649.jpg,TRUE,0.294816,0.5961549,4.803131,0.3308716,.\IMG\right_2017_10_17_22_13_13_649.jpg,TRUE,0.2854344,0.5965343,4.864891,0.3294678
